Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,97.76932953800096,76.60748554372171,4.819467536333407,1.8000000000000016e-2,7.65253977761641e-4,"cx0_1: 5.700e-3"
Q1,112.00330614242793,38.630796162014256,4.8911006519938685,2.400000000000002e-2,6.948807384001694e-4,"cx1_0: 5.700e-3, cx1_2: 6.682e-3, cx1_3: 1.527e-2"
Q2,67.49479825705589,86.2857321667898,4.716862225599083,2.400000000000002e-2,5.1126276531046e-4,"cx2_1: 6.682e-3"
Q3,16.7741024108396,17.087901087526642,4.789040028191919,3.600000000000003e-2,1.5133535656353151e-3,"cx3_1: 1.527e-2, cx3_4: 1.166e-2"
Q4,91.66377191152823,40.57047033263136,5.023689670977294,4.1000000000000036e-2,7.60352194224153e-4,"cx4_3: 1.166e-2"
