Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,5.175374616629703,81.60626854916836,133.850698584752,7.400000000000073e-3,0.00022077596145518872,"cx0_1: 9.737e-3 "
1,5.267212288403031,86.95157944692836,124.2510216508904,1.4699999999999935e-2,0.00031556594433874204,"cx1_2: 7.723e-3 , cx1_0: 9.737e-3 "
2,5.052375382288927,94.58156280222686,116.07029998421528,1.6100000000000003e-2,0.000276241649513622,"cx2_3: 6.311e-3 , cx2_1: 7.723e-3 "
3,4.855934281654232,70.2685425712727,22.778899087766238,2.950000000000008e-2,0.00024470215573574306,"cx3_4: 7.215e-3 , cx3_2: 6.311e-3 "
4,5.1185529077328775,80.28527379194905,106.1616474944926,2.3900000000000032e-2,0.0003929235409203646,"cx4_3: 7.215e-3 "
