Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,72.55818065776691,26.523302981450033,5.100116144899628,3.539999999999999e-2,3.2398443618320005e-3,
Q1,72.83048278007762,99.3106531342643,5.238527291773861,4.5599999999999974e-2,1.30869109584969e-2,"CX1_0: 2.790e-2, CX1_2: 4.654e-2"
Q2,45.560126377335045,83.97958846135592,5.032578582276317,3.909999999999991e-2,7.735267472151808e-3,"CX2_3: 3.668e-2"
Q3,74.47601853630945,74.00480072785525,4.89624404379485,4.6699999999999964e-2,2.187200468673156e-3,
Q4,47.53162897870034,20.067382645084102,5.030570059551233,5.010000000000003e-2,1.0096516580248238e-2,"CX4_3: 5.171e-2, CX4_10: 1.636e-1"
Q5,25.77417165450219,51.31073534507507,5.067161999849268,6.889999999999996e-2,5.162258133175057e-3,"CX5_4: 9.162e-2, CX5_6: 5.742e-2, CX5_9: 7.323e-2"
Q6,59.65200095167752,78.12362015320787,4.92384852447836,3.8799999999999946e-2,2.708663105372322e-3,"CX6_8: 3.979e-2"
Q7,48.49209468248677,91.57019559774307,4.974564045501293,1.6989999999999994e-1,3.5515979594766822e-3,"CX7_8: 3.126e-2"
Q8,50.552170308469314,77.00332225604268,4.739551068928767,5.0000000000000044e-2,4.526770170448224e-3,
Q9,45.2751759900466,79.30213481257819,4.963379889312799,3.749999999999998e-2,6.170090830927122e-3,"CX9_8: 1.112e-1, CX9_10: 4.976e-2"
Q10,56.059742810549224,58.579624108257384,4.945059743464882,7.479999999999998e-2,3.489473796745579e-3,
Q11,52.71343552760053,84.74424533205409,5.005005171739388,2.839999999999998e-2,2.6563378591272224e-3,"CX11_3: 2.600e-2, CX11_10: 4.812e-2, CX11_12: 5.209e-2"
Q12,80.93453290825205,141.0486890115253,4.760082479280846,3.960000000000008e-2,7.306610778559874e-3,"CX12_2: 9.131e-2"
Q13,12.115094608061558,24.48929918676323,4.96853174666056,1.0929999999999995e-1,1.5167860258681443e-2,"CX13_1: 1.403e-1, CX13_12: 6.101e-2"
