Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,94.80483646262421,18.38638524492989,4.795976700675361,7.099999999999995e-2,7.935687902822581e-4,"cx0_1: 9.878e-3"
Q1,122.33577985564467,144.02243752236947,4.9400444913297745,1.8000000000000016e-2,8.617732782305285e-4,"cx1_0: 9.878e-3, cx1_2: 7.653e-3, cx1_3: 1.121e-2"
Q2,130.23043856980996,116.54927983349526,4.833246732856076,2.100000000000002e-2,7.496709795462523e-4,"cx2_1: 7.653e-3"
Q3,120.06287817098998,91.82477137741603,4.807990279794636,2.200000000000002e-2,1.3137485300856705e-3,"cx3_1: 1.121e-2, cx3_4: 7.506e-3"
Q4,91.75812729888813,49.187856820818574,4.7499088832341885,2.300000000000002e-2,1.3526815464565876e-3,"cx4_3: 7.506e-3"
